"CdId","smiles","MolWeight","Formula","moleculename","E1","E2","E3","E4","h1","h2","h3","h4","l1","l2","l3","l4","reorg","IP_vert","IP_adia","ringcount","fusedringcount","rotatablebondcount","vdwsa","atomcountS","avgpol","axx","ayy","azz"
"58","c1cc2sc(cc2s1)C#Cc1cc2sccc2s1","302.44","C14H6S4","B.CR_115_2015_3036_119","-2129.7842","-2129.5413","-2129.7788","-2129.5466","-0.1927377","-0.34024","-0.1823329","-0.3296763","-0.0683064","-0.2102894","-0.0728113","-0.2144501","0.0107608875","0.2428564","0.23748922","4","4","2","306","4","32","49","30","16"
"59","c1cc2sc3cc4c(cc3c2s1)sc1ccsc41","302.44","C14H6S4","B.CR_115_2015_3036_212","-2129.87","-2129.618","-2129.8655","-2129.622","-0.1991244","-0.3532229","-0.190846","-0.3452104","-0.0555406","-0.2050428","-0.0591953","-0.2091395","0.008482163","0.25210163","0.24802689","5","5","0","304","4","31","32","46","15"
"60","C1c2ccccc2-c2cc(ccc12)-c1cc2ccsc2s1","304.43","C19H12S2","B.CR_115_2015_3036_472","-1527.6516","-1527.3977","-1527.6461","-1527.404","-0.2027635","-0.3508242","-0.1906187","-0.3426839","-0.0362526","-0.1857787","-0.0456817","-0.1986732","0.01174232","0.25381908","0.24751785","5","5","1","380","2","34","50","32","21"
"61","c1csc(c1)-c1ccc(s1)-c1cc2sccc2s1","304.46","C14H8S4","B.CR_115_2015_3036_98","-2131.0457","-2130.8054","-2131.0396","-2130.813","-0.1891276","-0.33821","-0.1762296","-0.3253485","-0.0652052","-0.2098201","-0.0729415","-0.2174276","0.013316206","0.24005081","0.23267333","4","2","2","331","4","32","16","31","49"
"62","c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccccc1","306.41","C24H18","B.APL_71_1997_3853_22a","-925.4501","-925.1966","-925.4445","-925.2024","-0.206525","-0.3394833","-0.1954151","-0.3290141","-0.0444601","-0.1772179","-0.0559918","-0.1890114","0.01134125","0.2535057","0.24771424","4","0","3","458","0","37","57","24","29"
"63","c1cc2sc3c4sc5ccsc5c4sc3c2s1","308.46","C12H4S5","B.JACS_127_2005_13281_11b","-2450.6084","-2450.3599","-2450.6028","-2450.3655","-0.1947827","-0.3552771","-0.1838496","-0.3443479","-0.0564063","-0.2093221","-0.0613566","-0.2143815","0.011266287","0.24841172","0.24278556","5","5","0","284","5","31","46","31","15"
"64","c1cc(sc1-c1ccc(s1)-c1ccccc1)-c1ccccc1","318.45","C20H14S2","B.AFM_13_2003_767_31c","-1566.9592","-1566.7224","-1566.9537","-1566.7285","-0.1880927","-0.3310505","-0.177365","-0.319097","-0.0626138","-0.2025289","-0.0721494","-0.2103177","0.011681651","0.23688251","0.23076345","4","0","3","418","2","36","55","29","24"
"65","c1c(sc2ccccc12)-c1cc2sc3ccccc3c2s1","322.46","C18H10S3","B.CR_115_2015_3036_207","-1886.538","-1886.2909","-1886.5333","-1886.296","-0.1979122","-0.3436562","-0.1884095","-0.3347647","-0.0657304","-0.2082635","-0.0717964","-0.2145274","0.0097824475","0.2471123","0.24199204","5","5","1","370","3","35","54","31","21"
"66","c1csc(c1)-c1ccc(s1)-c1ccc(s1)-c1ccccc1","324.47","C18H12S3","B.LC_42_2015_909","-1887.7117","-1887.4767","-1887.7059","-1887.4835","-0.1863065","-0.3278423","-0.1745651","-0.3154617","-0.0658127","-0.2040673","-0.0745759","-0.2117088","0.012468419","0.234922","0.22812116","4","0","3","397","3","36","24","29","55"
"67","c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21","328.41","C26H16","B.CAJ_9_2014_1623","-1000.47614","-1000.2323","-1000.4726","-1000.23584","-0.1952548","-0.3389224","-0.1883025","-0.3320994","-0.0533641","-0.1981642","-0.0582682","-0.2036302","0.0071100607","0.24380997","0.2402634","6","6","0","447","0","38","47","46","20"
"68","c1ccc2c(c1)ccc1c2ccc2c3ccc4ccccc4c3ccc12","328.41","C26H16","B.CP_384_2011_19_fulminene","-1000.49567","-1000.24884","-1000.49286","-1000.25146","-0.1993931","-0.3333404","-0.1939492","-0.3284626","-0.0514432","-0.1856832","-0.0564371","-0.1912613","0.005422141","0.24681711","0.24418399","6","6","0","447","0","39","39","60","17"
"69","c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1","328.41","C26H16","hex","-1000.45886","-1000.25104","-1000.4574","-1000.25256","-0.1625094","-0.295792","-0.1596319","-0.2936331","-0.0964192","-0.2286296","-0.0984873","-0.2314594","0.0028972547","0.20778614","0.20631519","6","6","0","448","0","39","37","17","64"
"70","c1ccc(cc1)-c1c2ccccc2c(-c2ccccc2)c2ccccc12","330.43","C26H18","B.CM_20_2008_6945","-1001.6597","-1001.4206","-1001.6552","-1001.4255","-0.1872584","-0.3446468","-0.1794623","-0.3303124","-0.0594803","-0.2155127","-0.0653178","-0.2164562","0.009364326","0.23914324","0.23426323","5","3","2","473","0","38","26","38","51"
"71","c1csc(c1)-c1ccc(s1)-c1ccc(s1)-c1cccs1","330.50","C16H10S4","ttttl","-2208.4639","-2208.2312","-2208.4583","-2208.2383","-0.1846362","-0.3243468","-0.1724291","-0.3118375","-0.0691946","-0.2052556","-0.0768321","-0.2121996","0.012783679","0.23281536","0.22579516","4","0","3","377","4","36","19","33","55"
"72","c1cc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2s1","334.44","C24H14S","B.JACS_135_2013_13900_pt","-1321.2228","-1321.0115","-1321.2212","-1321.0131","-0.1654622","-0.2996028","-0.1623737","-0.2973679","-0.0916128","-0.2251592","-0.0935843","-0.2279797","0.0031050378","0.2112856","0.20971277","6","6","0","428","1","39","37","17","63"
"73","c1cc2cc3cc4cc5cc6sccc6cc5cc4cc3cc2s1","340.46","C22H12S2","B.AM_23_2011_4347_20","-1641.9865","-1641.7716","-1641.9849","-1641.7732","-0.1685648","-0.303532","-0.1653439","-0.3012326","-0.0860268","-0.2210137","-0.0878095","-0.223654","0.0032066929","0.21489818","0.21328442","6","6","0","408","2","39","36","62","18"
"74","c1ccc2c(c1)sc1c3cc4cc5ccccc5cc4cc3sc21","340.46","C22H12S2","B.JACS_135_2013_13900_btat","-1642.0062","-1641.7739","-1642.0042","-1641.7759","-0.1843347","-0.3238509","-0.1803585","-0.3202306","-0.0738359","-0.2126085","-0.0763892","-0.2152243","0.0041716425","0.23239483","0.23034199","6","6","0","408","2","38","60","38","17"
"75","c1ccc2c3c(ccc2c1)sc1c3sc2ccc3ccccc3c12","340.46","C22H12S2","B.BCSJ_83_2010_120_2","-1642.0159","-1641.7714","-1642.0122","-1641.775","-0.1959801","-0.3371285","-0.188958","-0.3308453","-0.0598147","-0.1976857","-0.0645802","-0.2029445","0.0071863993","0.24446328","0.24091692","6","6","0","407","2","38","41","55","17"
"76","c1ccc2c3c(ccc2c1)sc1sc2ccc4ccccc4c2c31","340.46","C22H12S2","B.CR_115_2015_3036_455","-1641.9932","-1641.7473","-1641.9896","-1641.7507","-0.1962015","-0.3387038","-0.1894403","-0.332745","-0.0495168","-0.1855961","-0.0520898","-0.1896829","0.0068719876","0.24586399","0.24245802","6","6","0","406","2","36","44","45","20"
"77","c1ccc2c3sc4c5ccc6ccccc6c5sc4c3ccc2c1","340.46","C22H12S2","B.BCSJ_83_2010_120_3","-1642.0172","-1641.7682","-1642.0137","-1641.7716","-0.2012007","-0.3393255","-0.1943105","-0.3359463","-0.0542557","-0.1913461","-0.0586245","-0.1966696","0.0069563636","0.24897176","0.24554905","6","6","0","408","2","38","59","38","17"
"78","c1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31","340.46","C22H12S2","B.JACS_129_2007_2224_dntt","-1642.0109","-1641.7726","-1642.0083","-1641.7749","-0.1907745","-0.3268836","-0.1859972","-0.3231297","-0.0670714","-0.2008595","-0.0698733","-0.2046556","0.0047825086","0.23827352","0.23596935","6","6","0","408","2","38","60","37","17"
"79","c1c(sc2cc3cc(sc3cc12)-c1ccccc1)-c1ccccc1","342.47","C22H14S2","B.JACS_126_2004_5084_19b","-1643.1991","-1642.9572","-1643.1942","-1642.962","-0.1937266","-0.3315692","-0.1848826","-0.3212033","-0.0595697","-0.194121","-0.0674087","-0.2003837","0.009794467","0.24189676","0.23699538","5","3","2","435","2","39","26","30","62"
"80","C(=Cc1ccccc1)c1cc2sc(C=Cc3ccccc3)cc2s1","344.49","C22H16S2","B.CR_115_2015_3036_139","-1644.3602","-1644.133","-1644.3555","-1644.1376","-0.182759","-0.3134184","-0.1741612","-0.3047786","-0.0745172","-0.2023131","-0.0804782","-0.2080755","0.009256534","0.22717306","0.22261862","4","2","4","435","2","40","37","66","19"
"81","c1c(sc2c1sc1cc(sc21)-c1ccccc1)-c1ccccc1","348.50","C20H12S3","B.AFM_16_2006_426_11d","-1963.9414","-1963.7026","-1963.9357","-1963.7084","-0.1908241","-0.3330899","-0.180415","-0.3207267","-0.0603991","-0.1975338","-0.0704456","-0.2057381","0.011476129","0.23879476","0.23301682","5","3","2","414","3","39","26","31","60"
"82","c1c(sc2sc3sc(cc3c12)-c1ccccc1)-c1ccccc1","348.50","C20H12S3","B.CR_115_2015_3036_650","-1963.934","-1963.681","-1963.9298","-1963.6853","-0.2040089","-0.338618","-0.1963789","-0.3340704","-0.0421944","-0.1728076","-0.0490195","-0.1796134","0.0082855355","0.25283235","0.24860984","5","3","2","416","3","39","25","36","54"
"83","c1sc2sc3scc(-c4ccccc4)c3c2c1-c1ccccc1","348.50","C20H12S3","B.CR_115_2015_3036_654","-1963.9203","-1963.6644","-1963.9166","-1963.6685","-0.2045542","-0.3489366","-0.1971409","-0.3414588","-0.0255631","-0.1678983","-0.0289302","-0.1703694","0.0077816993","0.2559362","0.25189197","5","3","2","413","3","36","47","37","25"
"84","c1cc2c(ccc3sc4sc5ccc6sccc6c5c4c23)s1","352.50","C18H8S4","B.CR_115_2015_3036_454","-2283.5115","-2283.263","-2283.5078","-2283.2668","-0.1980064","-0.3401824","-0.1904968","-0.333134","-0.043384","-0.1869892","-0.046522","-0.1907173","0.007737594","0.24856001","0.24467085","6","6","0","366","4","37","48","44","18"
"85","c1ccc(cc1)-c1c2ccccc2c2c(-c3ccccc3)c3ccccc3c12","354.45","C28H18","B.ACIE_49_2010_7728_1b","-1077.8545","-1077.6093","-1077.8484","-1077.615","-0.1951707","-0.333458","-0.1837326","-0.3329715","-0.0863111","-0.2250547","-0.0931062","-0.231506","0.011745179","0.2451817","0.23943411","6","4","2","473","0","42","51","57","18"
"86","c1ccc2cc3cc(ccc3cc2c1)-c1ccc2cc3ccccc3cc2c1","354.45","C28H18","B.ACIE_42_2003_1159_1b","-1077.8989","-1077.6682","-1077.897","-1077.67","-0.1876125","-0.3111585","-0.1838717","-0.308291","-0.0689622","-0.1913462","-0.07175","-0.1950128","0.0037903255","0.2307036","0.228857","6","6","1","493","0","43","66","36","25"
"87","c1csc(c1)-c1cc2sc3cc(sc3c2s1)-c1cccs1","360.54","C16H8S5","B.CR_115_2015_3036_541a","-2605.4458","-2605.212","-2605.4404","-2605.2185","-0.1864519","-0.325488","-0.1749844","-0.3135472","-0.0683517","-0.2023362","-0.0751363","-0.2085422","0.01204315","0.23395509","0.22732821","5","3","2","373","5","38","19","36","60"
"88","c1cc2sc3c(sc4c5sc6ccsc6c5sc34)c2s1","364.55","C14H4S6","ttttttf","-2925.0078","-2924.7666","-2925.0024","-2924.772","-0.1914118","-0.3396289","-0.1810432","-0.329009","-0.0616514","-0.2032616","-0.0664265","-0.2078142","0.010686747","0.24114507","0.23580545","6","6","0","326","6","37","57","36","18"
"89","c1cc2c(-c3ccccc3)c3c4sccc4c(-c4ccccc4)c3c2s1","366.50","C24H14S2","B.CAEJ_21_2015_2019_bDTP","-1719.3363","-1719.1111","-1719.3285","-1719.1185","-0.1748988","-0.3354431","-0.1602022","-0.3227092","-0.0958346","-0.2351129","-0.1030837","-0.2402463","0.01521474","0.22515817","0.21776666","6","4","2","383","2","42","50","57","19"
"90","c1ccc(cc1)-c1sc2ccc3c(sc4ccc1c2c34)-c1ccccc1","366.50","C24H14S2","B.CL_2002_958_13d","-1719.4027","-1719.1823","-1719.3999","-1719.1852","-0.1734358","-0.3157133","-0.1681343","-0.3092321","-0.0781092","-0.217179","-0.0828058","-0.22072","0.0058833263","0.22049835","0.21751498","6","4","2","453","2","41","26","36","62"
"91","C1c2ccccc2-c2c1sc1c2sc2c-3c(Cc4ccccc-34)sc12","372.52","C22H12S3","B.CR_115_2015_3036_565","-2040.1549","-2039.9161","-2040.1505","-2039.9204","-0.1907204","-0.335973","-0.1819687","-0.3300292","-0.04243","-0.1880416","-0.0464564","-0.194225","0.0087154","0.23882034","0.23453875","7","7","0","427","3","42","61","45","20"
"92","c1c(sc2c1sc1c3ccccc3sc21)-c1ccc2ccccc2c1","372.52","C22H12S3","B.CR_115_2015_3036_563c","-2040.1787","-2039.9379","-2040.174","-2039.9427","-0.1947292","-0.329568","-0.1855398","-0.3216422","-0.0629924","-0.1946508","-0.0700416","-0.2026526","0.009612273","0.24086033","0.23601314","6","6","1","432","3","42","65","36","24"
"93","c1ccc2c(c1)ccc1c2ccc2c1ccc1c3ccc4ccccc4c3ccc21","378.47","C30H18","B.CP_384_2011_19_7phenacene","-1154.1432","-1153.8995","-1154.1403","-1153.9022","-0.1988738","-0.3232506","-0.1933056","-0.3184522","-0.0514409","-0.1773323","-0.0569636","-0.1834847","0.0055897254","0.24362421","0.24088258","7","7","0","509","0","45","45","71","20"
"94","c1c(sc2c1sc1ccccc21)-c1cc2sc3ccccc3c2s1","378.54","C20H10S4","B.CR_115_2015_3036_208","-2360.9395","-2360.699","-2360.9348","-2360.7046","-0.194278","-0.3307555","-0.184155","-0.3214406","-0.0692021","-0.2027923","-0.0756351","-0.2096683","0.010333181","0.24053845","0.23478912","6","6","1","413","4","41","35","25","64"
"95","c1c(sc2ccccc12)-c1cc2sc3c4ccccc4sc3c2s1","378.54","C20H10S4","B.CR_115_2015_3036_210","-2360.9382","-2360.6973","-2360.9336","-2360.7024","-0.1946067","-0.3312544","-0.18525","-0.322323","-0.0693308","-0.2025686","-0.0752245","-0.2085867","0.009703541","0.24076673","0.23568843","6","6","1","413","4","41","65","36","23"
"96","c1cc2cc3sc(cc3cc2s1)-c1cc2cc3sccc3cc2s1","378.54","C20H10S4","B.AM_9_1997_36_10a","-2360.9438","-2360.7039","-2360.9397","-2360.708","-0.1949823","-0.32299","-0.1866671","-0.3159038","-0.0694296","-0.1980873","-0.0743216","-0.2036297","0.008447325","0.24015635","0.23597552","6","6","1","413","4","41","35","24","66"
"97","c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccccc1","382.51","C30H22","B.APL_71_1997_3853_22b","-1156.5143","-1156.2686","-1156.5089","-1156.2737","-0.2035664","-0.3209408","-0.1931052","-0.311472","-0.0481847","-0.1665066","-0.0592284","-0.1781706","0.01057403","0.24572821","0.24051744","5","0","4","566","0","47","30","36","75"
"98","c1cc2cc3cc4cc5cc6cc7sccc7cc6cc5cc4cc3cc2s1","390.52","C26H14S2","B.AM_23_2011_4347_21","-1795.6234","-1795.418","-1795.622","-1795.4194","-0.1623074","-0.2882683","-0.1594031","-0.2862828","-0.0946626","-0.2210428","-0.0961556","-0.2233508","0.0028866464","0.20540176","0.20394371","7","7","0","470","2","45","74","42","20"
"99","c1ccc2cc3c(cc2c1)sc1c2cc4cc5ccccc5cc4cc2sc31","390.52","C26H14S2","B.JACS_135_2013_13900_ntat","-1795.6512","-1795.4237","-1795.6493","-1795.4255","-0.1831247","-0.3093061","-0.1794457","-0.3064947","-0.07714","-0.2036191","-0.0794884","-0.2064122","0.003783945","0.2274993","0.22565752","7","7","0","470","2","45","43","73","20"
"100","c1cc2c(s1)sc1sc(cc21)-c1cc2c(s1)sc1sccc21","390.58","C16H6S6","B.CR_115_2015_3036_664","-3002.4136","-3002.167","-3002.4077","-3002.1748","-0.1980052","-0.3378064","-0.1839792","-0.3280944","-0.0506045","-0.1938892","-0.0582663","-0.204482","0.013686763","0.24652417","0.23875801","6","6","1","373","6","40","36","25","60"
"101","c1cc2sc3cc(sc3c2s1)-c1cc2sc3ccsc3c2s1","390.58","C16H6S6","B.JACS_120_1998_2206_11a","-3002.4275","-3002.1917","-3002.422","-3002.1987","-0.1888464","-0.3264925","-0.1767702","-0.3147906","-0.0683798","-0.2017258","-0.0748981","-0.2084417","0.012369378","0.23569168","0.22863433","6","6","1","371","6","41","39","63","20"
"102","c1c(sc2c1ccc1c3sc(cc3ccc21)-c1ccccc1)-c1ccccc1","392.53","C26H16S2","B.JACS_133_2011_5024_3c","-1796.85","-1796.6099","-1796.8452","-1796.6144","-0.1956363","-0.3236648","-0.1870252","-0.3135798","-0.0568802","-0.1818467","-0.0654085","-0.1885662","0.009311448","0.24009866","0.23557317","6","4","2","498","2","46","28","37","72"
"103","c1c(sc2cc3cc4cc(sc4cc3cc12)-c1ccccc1)-c1ccccc1","392.53","C26H16S2","B.JACS_133_2011_5024_1c","-1796.8422","-1796.6124","-1796.8392","-1796.6152","-0.1837878","-0.3166138","-0.1788704","-0.3098188","-0.0678759","-0.1978277","-0.0722671","-0.2003686","0.0057047815","0.22972961","0.22696555","6","4","2","497","2","46","28","36","74"
"104","c1c(sc2cc3cc4sc(cc4cc3cc12)-c1ccccc1)-c1ccccc1","392.53","C26H16S2","B.JACS_133_2011_5024_2c","-1796.842","-1796.6111","-1796.8398","-1796.6133","-0.1846166","-0.3223625","-0.180892","-0.3189663","-0.0650013","-0.1978906","-0.0682078","-0.200656","0.0042794524","0.23093715","0.22881466","6","4","2","497","2","46","28","36","74"
"105","c1c(sc2ccc3c4cc(sc4ccc3c12)-c1ccccc1)-c1ccccc1","392.53","C26H16S2","B.JACS_133_2011_5024_4c","-1796.8492","-1796.6093","-1796.8447","-1796.6132","-0.1948667","-0.3239108","-0.1872112","-0.3146029","-0.0573601","-0.1845687","-0.065672","-0.1904067","0.008530537","0.24004422","0.23605752","6","4","2","498","2","45","28","38","70"
"106","c1ccc2c(c1)sc1cc3c(cc21)sc1cc2c(cc31)sc1ccccc21","396.54","C24H12S3","B.JMC_9_1999_2095_10d","-2116.4402","-2116.1917","-2116.4382","-2116.1936","-0.2021504","-0.3279292","-0.1980808","-0.3295584","-0.0627047","-0.1835341","-0.061004","-0.1824808","0.0038854096","0.248583","0.24669592","7","7","0","451","3","44","70","43","20"
"107","c1ccc2c(c1)sc1cc3sc4cc5c(cc4c3cc21)sc1ccccc51","396.54","C24H12S3","B.JMC_9_1999_2095_1b","-2116.4402","-2116.19","-2116.4382","-2116.192","-0.203822","-0.3260888","-0.1997145","-0.327046","-0.0557912","-0.1788305","-0.0548156","-0.1786543","0.0040403265","0.25020286","0.24818477","7","7","0","451","3","44","67","46","20"
"108","c1c(sc2c1sc1c3ccccc3sc21)-c1ccc(cc1)-c1ccccc1","398.56","C24H14S3","B.CR_115_2015_3036_563b","-2117.5952","-2117.3555","-2117.5903","-2117.3613","-0.1945402","-0.3242586","-0.1846422","-0.3148272","-0.0615554","-0.1905515","-0.0704948","-0.1987947","0.010739091","0.23972532","0.23395252","6","4","2","477","3","45","36","72","28"
"109","c1cc2c(s1)c1sccc1c1cc3c4ccsc4c4sccc4c3cc21","402.56","C22H10S4","B.CM_20_2008_2484","-2437.1714","-2436.9338","-2437.169","-2436.9363","-0.191452","-0.3270032","-0.1867353","-0.3221645","-0.0623647","-0.1951184","-0.0652839","-0.1978284","0.0048460523","0.23766977","0.23523793","7","7","0","429","4","43","59","51","20"
"110","c1cc2c3ccsc3c3cc4c5sccc5c5ccsc5c4cc3c2s1","402.56","C22H10S4","B.OL_9_2007_4187","-2437.1748","-2436.9333","-2437.1726","-2436.9355","-0.1947405","-0.3303999","-0.1902677","-0.3292786","-0.0660721","-0.2030777","-0.0683828","-0.2056406","0.0045519737","0.24151394","0.23926064","7","7","0","429","4","43","58","52","20"
"111","c1ccc2c(c1)sc1c3cc4sc5c6ccccc6sc5c4cc3sc21","402.56","C22H10S4","B.ACR_47_2014_1493_bbtbdt","-2437.1816","-2436.9397","-2437.1782","-2436.943","-0.1961472","-0.3270683","-0.1897957","-0.3211312","-0.064247","-0.1930875","-0.0675357","-0.1966862","0.006561115","0.24188855","0.2386906","7","7","0","430","4","44","70","42","20"
"112","c1cc2sc(cc2s1)-c1ccc2cc(ccc2c1)-c1cc2sccc2s1","404.58","C22H12S4","B.CR_115_2015_3036_151","-2438.3394","-2438.103","-2438.3342","-2438.109","-0.1932516","-0.3171224","-0.182244","-0.3064372","-0.0655543","-0.1871341","-0.0720535","-0.1936711","0.011190814","0.23642598","0.23038511","6","6","2","457","4","45","32","31","71"
"113","c1ccc2c(c1)sc1c2sc2c3sc4c5ccccc5sc4c3sc12","408.58","C20H8S5","B.CR_115_2015_3036_743","-2757.9202","-2757.6794","-2757.9158","-2757.6838","-0.1950444","-0.3317346","-0.1864782","-0.3236675","-0.0656432","-0.1976722","-0.0705094","-0.2027141","0.008846028","0.2409047","0.23647293","7","7","0","409","5","44","42","69","20"
"114","c1csc(c1)-c1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1cccs1","412.62","C20H12S5","tttttl","-2760.2825","-2760.0593","-2760.2773","-2760.0654","-0.180229","-0.3039018","-0.1694561","-0.2929466","-0.0754814","-0.1965646","-0.0821164","-0.2024064","0.011372204","0.22322491","0.21720849","5","0","4","464","5","45","40","24","71"
"115","c1cc2sc3c4cc5sc6c7sccc7sc6c5cc4sc3c2s1","414.61","C18H6S6","B.CR_115_2015_3036_568","-3078.6697","-3078.4307","-3078.6655","-3078.4348","-0.1931312","-0.3258537","-0.1847297","-0.3176586","-0.064614","-0.1941259","-0.0682556","-0.1975768","0.008672855","0.23916474","0.23486064","7","7","0","389","6","43","68","41","21"
"116","C(=Cc1cc2c(s1)sc1sccc21)c1cc2c(s1)sc1sccc21","416.62","C18H8S6","B.CR_115_2015_3036_663b","-3079.825","-3079.5903","-3079.819","-3079.5957","-0.188755","-0.3220147","-0.1773475","-0.3129739","-0.0652627","-0.201513","-0.0697385","-0.2072845","0.011307969","0.23471968","0.22923811","6","6","2","405","6","44","43","69","21"
"117","c1cc2scc(-c3csc4c(csc34)-c3csc4ccsc34)c2s1","416.62","C18H8S6","B.CR_115_2015_3036_127","-3079.8413","-3079.5889","-3079.8384","-3079.5918","-0.2050884","-0.3352308","-0.1990748","-0.3303237","-0.0451827","-0.179514","-0.0451491","-0.1810695","0.005864426","0.25240472","0.24950069","6","6","2","416","6","42","35","35","57"
"118","c1cc2c(s1)sc1c2sc2sc3sc4c5ccsc5sc4c3c12","420.63","C16H4S7","B.CR_115_2015_3036_762","-3399.3955","-3399.1428","-3399.3916","-3399.1467","-0.2040721","-0.3346513","-0.1965676","-0.3336543","-0.0343095","-0.1701733","-0.035394","-0.1703732","0.0075960364","0.2524454","0.24867772","7","7","0","370","7","42","47","59","21"
"119","c1cc2c(s1)sc1sc3sc4sc5sc6sccc6c5c4c3c21","420.63","C16H4S7","B.CR_115_2015_3036_769","-3399.3767","-3399.1204","-3399.3733","-3399.1245","-0.2063782","-0.3375814","-0.1993243","-0.338996","-0.0341436","-0.1746084","-0.034089","-0.1726779","0.0077340044","0.25640628","0.25218436","7","7","0","374","7","42","51","54","21"
"120","c1cc2sc3c(sc4c3sc3c5sc6ccsc6c5sc43)c2s1","420.63","C16H4S7","B.CR_115_2015_3036_700","-3399.4072","-3399.1719","-3399.402","-3399.177","-0.1889368","-0.3267452","-0.1789566","-0.3166603","-0.0659143","-0.1979696","-0.0705402","-0.2024275","0.01027988","0.23543882","0.23029564","7","7","0","368","7","43","41","67","21"
"121","c1c2ccccc2c2c1sc1c3sc4c(sc5cc6ccccc6c45)c3sc21","426.58","C24H10S4","B.CR_115_2015_3036_690","-2513.311","-2513.0864","-2513.3086","-2513.0889","-0.183079","-0.3093174","-0.1784948","-0.3055468","-0.1149828","-0.2378318","-0.1171631","-0.2404644","0.0049219034","0.22476467","0.2223392","8","8","0","452","4","47","74","47","21"
"122","c1ccc2c(c1)c1sc3c(sc4c3c3ccccc3c3ccccc43)c1c1ccccc21","440.58","C30H16S2","B.NC_2_2011_437_4","-1949.3119","-1949.0726","-1949.3085","-1949.0759","-0.1955054","-0.3246741","-0.1889131","-0.3189735","-0.0595737","-0.1867927","-0.0641542","-0.1919706","0.006822488","0.23929287","0.23591635","8","8","0","530","2","51","59","71","22"
"123","c1ccc2c(c1)ccc1c3c(ccc21)sc1c3sc2ccc3c(ccc4ccccc34)c12","440.58","C30H16S2","B.NC_2_2011_437_5","-1949.3107","-1949.0715","-1949.3074","-1949.0748","-0.1957921","-0.3179087","-0.1892022","-0.3127178","-0.0609575","-0.1830827","-0.0655474","-0.1885567","0.006650086","0.23918983","0.23592256","8","8","0","531","2","51","51","80","22"
"124","c1ccc2c(c1)ccc1c3sc4c5ccc6c(ccc7ccccc67)c5sc4c3ccc21","440.58","C30H16S2","B.NC_2_2011_437_3","-1949.3135","-1949.0703","-1949.3098","-1949.0734","-0.2003093","-0.3209103","-0.19369","-0.3180263","-0.0567361","-0.178245","-0.0607367","-0.1833707","0.0066497996","0.24309888","0.24004129","8","8","0","532","2","51","49","82","22"
"125","c1ccc2cc3cc4c(cc3cc2c1)sc1c2cc3cc5ccccc5cc3cc2sc41","440.58","C30H16S2","B.NC_2_2011_437_DATT","-1949.2914","-1949.0709","-1949.2898","-1949.0724","-0.1798082","-0.2955228","-0.1767073","-0.2930284","-0.0821328","-0.1970951","-0.0841241","-0.199667","0.0031079599","0.22050191","0.21898444","8","8","0","533","2","52","85","48","22"
"126","c1c(sc2cc(sc12)-c1ccc(cc1)-c1ccccc1)-c1ccc(cc1)-c1ccccc1","444.61","C30H20S2","B.CR_115_2015_3036_129","-1951.6697","-1951.4365","-1951.6644","-1951.4427","-0.1906885","-0.3108634","-0.1802324","-0.3005108","-0.0615066","-0.182365","-0.0721722","-0.1920775","0.011426659","0.23309146","0.22693743","6","2","4","587","2","53","86","38","35"
"127","c1ccc(cc1)-c1sc2c(c(sc2c1-c1ccccc1)-c1ccccc1)-c1ccccc1","444.61","C30H20S2","B.CR_115_2015_3036_46","-1951.6625","-1951.4247","-1951.6571","-1951.4302","-0.1928973","-0.3269458","-0.1825444","-0.3179595","-0.0512564","-0.1838126","-0.059223","-0.1921496","0.010661362","0.23770076","0.23231792","6","2","4","586","2","51","37","50","65"
"128","c1c(sc2c1sc1cc(sc21)-c1ccc2ccccc2c1)-c1ccc2ccccc2c1","448.62","C28H16S3","B.CR_115_2015_3036_541f","-2271.2366","-2271.0066","-2271.232","-2271.0115","-0.1879598","-0.3099493","-0.1790431","-0.3016551","-0.067015","-0.186534","-0.0751052","-0.1949787","0.0095927585","0.2300771","0.22521459","7","7","2","539","3","52","36","40","79"
"129","c1ccc2c(c1)sc1c3cc4cc5sc6c7ccccc7sc6c5cc4cc3sc21","452.62","C26H12S4","B.JACS_135_2013_13900_bbtndt","-2590.826","-2590.5945","-2590.8237","-2590.5967","-0.1882425","-0.311969","-0.183914","-0.3075393","-0.072672","-0.1959581","-0.0749557","-0.1980592","0.0045636017","0.23150317","0.22929332","8","8","0","493","4","51","82","48","23"
"130","c1ccc(cc1)-c1c2c3ccc4ccccc4c3c(-c3ccccc3)c2c2ccc3ccccc3c12","454.57","C36H22","B.ACIE_49_2010_7728_2b","-1385.1333","-1384.9095","-1385.1287","-1384.9138","-0.1797541","-0.3138461","-0.1711432","-0.3067094","-0.0927327","-0.2195625","-0.0990321","-0.2256462","0.008906897","0.22381099","0.21953766","8","6","2","550","0","54","60","69","34"
